ZIPCODE,MONTH,YEAR,CUSTOMERCLASS,COMBINED,TOTALCUSTOMERS,TOTALKWH,AVERAGEKWH
93637,2,2024,Elec- Agricultural,N,656,"3,583,068","5,462"
93637,3,2024,Elec- Agricultural,N,657,"8,682,009","13,215"
93638,1,2024,Elec- Agricultural,Y,352,"450,227","1,279"
93638,2,2024,Elec- Agricultural,Y,448,"595,505","1,329"
93638,3,2024,Elec- Agricultural,Y,456,"1,943,407","4,262"
93640,1,2024,Elec- Agricultural,Y,0,0,
93640,2,2024,Elec- Agricultural,Y,840,"9,250,574","11,013"
93640,3,2024,Elec- Agricultural,Y,195,"1,211,888","6,215"
93641,1,2024,Elec- Agricultural,Y,0,0,
93641,2,2024,Elec- Agricultural,Y,0,0,
93641,3,2024,Elec- Agricultural,Y,0,0,
93643,1,2024,Elec- Agricultural,Y,0,0,
93643,2,2024,Elec- Agricultural,Y,0,0,
93643,3,2024,Elec- Agricultural,Y,0,0,
93644,1,2024,Elec- Agricultural,Y,0,0,
93644,2,2024,Elec- Agricultural,Y,0,0,
93644,3,2024,Elec- Agricultural,Y,0,0,
93645,1,2024,Elec- Agricultural,Y,0,0,
93645,2,2024,Elec- Agricultural,Y,0,0,
93645,3,2024,Elec- Agricultural,Y,0,0,
93646,1,2024,Elec- Agricultural,Y,0,0,
93646,2,2024,Elec- Agricultural,Y,0,0,
93646,3,2024,Elec- Agricultural,Y,0,0,
93647,1,2024,Elec- Agricultural,Y,0,0,
93647,2,2024,Elec- Agricultural,Y,0,0,
93647,3,2024,Elec- Agricultural,Y,861,"3,291,650","3,823"
93648,1,2024,Elec- Agricultural,Y,0,0,
93648,2,2024,Elec- Agricultural,Y,0,0,
93648,3,2024,Elec- Agricultural,Y,0,0,
93650,1,2024,Elec- Agricultural,Y,0,0,
93650,2,2024,Elec- Agricultural,Y,0,0,
93650,3,2024,Elec- Agricultural,Y,0,0,
93651,1,2024,Elec- Agricultural,Y,0,0,
93651,2,2024,Elec- Agricultural,Y,0,0,
93651,3,2024,Elec- Agricultural,Y,0,0,
93652,1,2024,Elec- Agricultural,Y,0,0,
93652,2,2024,Elec- Agricultural,Y,0,0,
93652,3,2024,Elec- Agricultural,N,38,"189,485","4,986"
93653,1,2024,Elec- Agricultural,Y,0,0,
93653,2,2024,Elec- Agricultural,Y,0,0,
93653,3,2024,Elec- Agricultural,Y,0,0,
93654,1,2024,Elec- Agricultural,Y,0,0,
93654,2,2024,Elec- Agricultural,Y,0,0,
93654,3,2024,Elec- Agricultural,Y,0,0,
93656,1,2024,Elec- Agricultural,Y,0,0,
93656,2,2024,Elec- Agricultural,Y,0,0,
93656,3,2024,Elec- Agricultural,N,205,"5,546,216","27,055"
